Growth,Target,Condition
0.08712807357661252,-6.8977488709102384e-12,Wild-type
0.036136625212377003,-1.911141277420961e-12,Wild-type
0.06090235569572739,5.356243300443876e-12,Wild-type
0.07047056225976302,1.6494555492603272e-11,Wild-type
0.10497960070866615,1.6864270302661056e-11,Wild-type
0.13585581674179406,1.8755005733191906e-11,Wild-type
0.1413464957585777,2.4442233164414146e-11,Wild-type
0.07666582464521617,2.3041943356557537e-11,Wild-type
0.07198939952224868,2.1548652016790904e-11,Wild-type
0.1015823316655015,1.8657193473788597e-11,Wild-type
0.08905027086826686,1.6062844593406386e-11,Wild-type
0.049575365384973445,1.8696793329556922e-11,Wild-type
0.15722257211663102,2.0135117907139273e-11,Wild-type
0.0904563452113344,1.8869312216566604e-11,Wild-type
0.11271560174577507,2.4749090984325157e-11,Wild-type
0.0851549007376344,-5.482223270916818e-12,Wild-type
0.09959711068723637,-7.887106329282727e-12,Wild-type
0.030922235259128034,0.0012382767704040962,KO (ACKr)
0.09004152463267845,0.04298917983659839,KO (ACKr)
0.04683598559235747,0.043381658450121145,KO (ACKr)
0.0676099458689262,0.04054981165822548,KO (ACKr)
0.053730637833003254,0.03526838856591586,KO (ACKr)
0.026866559818015633,0.030950973847871783,KO (ACKr)
0.08865091630849523,0.024215563320748486,KO (ACKr)
0.033704374968035515,0.0001620270496459885,KO (ACKr)
0.042321813646838714,0.011416173472608109,KO (ACKr)
0.05594303243100063,0.015441425543604614,KO (ACKr)
0.113186325154361,0.011795395156571757,KO (ACKr)
0.1445980201485651,0.01724313261700982,KO (ACKr)
0.10131111219858524,0.011573887301736092,KO (ACKr)
0.1187928694688268,0.06535756664739795,KO (ACKr)
0.12001928851844972,0.04352442374163251,KO (ACKr)
0.09433517506462244,0.054227596299971335,KO (ACKr)
0.06349920109395044,0.06685574560641194,KO (ACKr)
0.053799802477311844,0.05993809999041417,KO (ACKr)
0.04984796848000475,0.0643497296954885,KO (ACKr)
0.03115329264982897,0.06340140213056011,KO (ACKr)
0.041990913128486025,0.05311312566250202,KO (ACKr)
0.10078042843870522,0.05433449468085988,KO (ACKr)
0.11297720016165834,0.049033414469684906,KO (ACKr)
0.0801061663470615,0.06303832190573813,KO (ACKr)
0.08616860091814399,0.031771154169610905,KO (ACKr)
0.051601551538948964,0.018347483450727748,KO (ACKr)
0.04498724439680354,0.015700972207761378,KO (ACKr)
0.0533331953673935,0.022509319519339262,KO (ACKr)
0.04778840368296444,0.018973549838614986,KO (ACKr)
0.07789319733746801,0.0047787756535319454,KO (ACKr)
0.09495981636934055,0.01627948414510399,KO (ACKr)
0.04288433688910016,0.06198167056366269,KO (ACKr)
0.08286300125020103,0.07401718931282095,KO (ACKr)
0.08123010696301511,0.02997760735947632,KO (ACKr)
0.07384861827624838,0.01185138740760671,KO (ACKr)
0.07549801244867696,0.010068475471877511,KO (ACKr)
0.08651214898184964,0.018428260946924915,KO (ACKr)
0.08009599885332568,0.013732851785499593,KO (ACKr)
0.11097231937597062,0.046345598964435936,KO (ACKr)
0.0759186004270785,0.02594393009219086,KO (ACKr)
0.10101514307037808,0.031572516907045094,KO (ACKr)
0.11768529791843173,0.06523453770491805,KO (ACKr)
