,p1k_00001,p1k_00002,p1k_00106,p1k_00107
b0321,1.8246987008769961,2.0575646289466762,2.5489790730895,2.2103135966718463
b0322,1.5628895888564784,1.0,1.0,2.6521741161700176
b0323,2.582128150345706,2.841007615957578,1.2568058543463685,2.5479360019408825
b0324,26.989381562379357,30.297522503642206,26.517087539264367,24.151045003774627
b0325,167.38212126184308,179.8910858236091,105.31783971943818,100.77479491754382
b0326,1.8195010188082894,1.6130245955385032,1.8978763509366876,1.4510070891883153
b0327,11.873379375105696,18.28430321681039,11.920512359709075,10.973490097461491
b0328,6.473096093827683,8.071676580160636,9.358801264655371,10.492625391092153
b0329,466.79725335611556,398.8263088460944,339.0179141397806,343.24248073614694
b0330,7.004510303171643,9.98330181882291,11.156695803973374,11.589998841303382
b0331,1.938149314673297,2.122846395827914,2.37049588884821,3.2028988224330095
b0333,1.8573241435759176,1.8550907173324511,2.0436853300589424,2.88729120191631
b0334,1.3454095202780425,1.8612742249929615,2.2614791705084003,3.281126763021244
b0335,3.1262729147144377,1.927821009100255,3.459048744165398,3.27535107938826
b0336,244.07180712791646,242.5783970552705,309.28228195332196,301.45376379432594
b0337,453.70921266506525,505.9030981465782,413.4581024879704,396.537431884611
b0338,18.275081487871322,17.952173474636606,13.48247655498873,11.768044801409724
b0339,5.812705985675568,4.789606588828443,3.960271118545892,4.9032613495441035
b0340,8.453805452517999,6.310276745994472,7.222225918769438,8.032263399993274
b0341,5.3422911141519975,4.897881060124886,3.64309921370838,3.2304350566956592
b0342,7.009674140159004,5.086830632321115,4.791033479547775,6.612532660604785
b0343,2.0665276428329027,1.997264891546105,3.2396788060866326,3.739130772632284
b0344,2.794107597204063,3.1147853351843913,6.003580207832721,4.829820197429707
b0345,45.92046032106408,53.88653183479457,59.51865587703056,57.86270721819739
b0346,69.75554596987888,69.67639563329554,114.03337386922895,85.43025751265422
b0347,3.811405298239559,4.455028709736655,3.2735415574824827,2.473560698321036
b0348,2.9459897218103506,4.970064042606706,3.325927307548495,2.9472052081482083
b0349,2.5425901532751105,4.173303785787106,3.2534935846980564,2.839401460736966
b0350,4.71507128660201,3.7790448297855166,3.562827310409255,3.423188705403353
b0351,2.4063361349884853,3.893011968369325,3.439655615646698,3.708888004157562
b0352,3.8027904697729555,5.193233324161857,4.733182142528173,4.387445747398569
b0353,3.6207804874763774,5.127294303824036,4.627064859808923,4.846212270090031
b0354,78.70690774956047,67.23390179398864,73.13605110252507,85.28153212802354
b0355,28.662581164253012,32.18928012715389,11.395556405452709,9.8254624598306
b0356,112.9039716651348,126.28234535778785,33.67299237743404,31.72374056535555
b0357,97.91490314952432,97.058288694171,32.41265955918563,25.89036223182635
b0358,8.559738084868602,7.7860397009842455,5.259692452640302,6.705764100455469
b0360,1.4567710596524464,1.0,1.0,1.3351746669723248
b0361,1.3690468170266783,1.2760640564594654,1.269561111395338,1.2708033735209838
b0363,3.513958014915636,4.343211825229812,2.9382727568228915,3.254658663877989
b0364,1.5992055421971578,2.3446997925608577,1.437674493375047,1.8793829975859357
b0365,3.430420468141185,3.077790527320024,7.213341641520041,6.222877523994924
b0366,3.8298394567359333,3.2796852121346016,4.815974489241598,5.153023611387198
b0367,3.422872578765076,2.8124205417693124,3.50711367504741,4.2594521966591135
b0368,5.12058963190468,5.109855031694332,6.876242407979421,5.751454962336889
b0369,187.38226879537635,204.1695544703169,154.17125908567218,158.40008627740332
b0372,27.031208844561853,29.55973408175471,22.408189065939432,25.05371140501149
b0373,60.06963347785281,62.69479523699624,47.40224977837763,42.70913556664344
b0375,1.8037413848042696,1.0,1.1956909992129656,1.393185667227391
b0376,61.634583199469354,78.97164640797948,65.00819386831144,67.31595770851249
b0377,20.853267944323207,21.89404712620848,18.00155709774606,17.376617764504136
b0378,34.89366406804485,28.866586528974036,33.116914058889925,28.447591231995244
b0379,4.246178796551289,2.6188610662497256,4.556636418032942,6.955045056824659
