Growth,Target,Condition
0.05902207588405874,0.017191767764527938,KO (ACKr)
0.09670349899690467,0.011691175595062268,KO (ACKr)
0.06170667224602374,0.012707190151055835,KO (ACKr)
0.07129927000520865,0.030801384576110633,KO (ACKr)
0.08964035222638472,0.03112515977325316,KO (ACKr)
0.08369663397372724,0.03992401349854185,KO (ACKr)
0.04555582642088893,0.0613899491782955,KO (ACKr)
0.08835458489361286,0.043775017063492336,KO (ACKr)
0.05989202718097503,0.030683196025027625,KO (ACKr)
0.08581885779296533,0.005401135907517371,KO (ACKr)
0.08392092302187865,0.009486690901545608,KO (ACKr)
0.08529807591410651,0.06536385860896816,KO (ACKr)
0.087437317537626,0.05862395014898896,KO (ACKr)
